TimeGenerated [UTC],AggregatedValue
"18/8/2021, 3:45:00.000 am",30
"18/8/2021, 3:45:00.000 pm",41
"18/8/2021, 3:50:00.000 am",30
"18/8/2021, 3:50:00.000 pm",41
"18/8/2021, 3:55:00.000 am",30
"18/8/2021, 3:55:00.000 pm",41
"18/8/2021, 4:00:00.000 am",30
"18/8/2021, 4:00:00.000 pm",31
"18/8/2021, 4:05:00.000 am",30
"18/8/2021, 4:05:00.000 pm",31
"18/8/2021, 4:10:00.000 am",30
"18/8/2021, 4:10:00.000 pm",31
"18/8/2021, 4:15:00.000 am",30
"18/8/2021, 4:15:00.000 pm",31
"18/8/2021, 4:20:00.000 am",30
"18/8/2021, 4:20:00.000 pm",31
"18/8/2021, 4:25:00.000 am",30
"18/8/2021, 4:25:00.000 pm",31
"18/8/2021, 4:30:00.000 am",30
"18/8/2021, 4:30:00.000 pm",30
"18/8/2021, 4:35:00.000 am",30
"18/8/2021, 4:35:00.000 pm",30
"18/8/2021, 4:40:00.000 am",31
"18/8/2021, 4:40:00.000 pm",31
"18/8/2021, 4:45:00.000 am",31
"18/8/2021, 4:45:00.000 pm",31
"18/8/2021, 4:50:00.000 am",30
"18/8/2021, 4:50:00.000 pm",31
"18/8/2021, 4:55:00.000 am",30
"18/8/2021, 4:55:00.000 pm",31
"18/8/2021, 5:00:00.000 am",30
"18/8/2021, 5:00:00.000 pm",31
"18/8/2021, 5:05:00.000 am",31
"18/8/2021, 5:05:00.000 pm",30
"18/8/2021, 5:10:00.000 am",31
"18/8/2021, 5:10:00.000 pm",34
"18/8/2021, 5:15:00.000 am",31
"18/8/2021, 5:15:00.000 pm",31
"18/8/2021, 5:20:00.000 am",31
"18/8/2021, 5:20:00.000 pm",31
"18/8/2021, 5:25:00.000 am",30
"18/8/2021, 5:25:00.000 pm",31
"18/8/2021, 5:30:00.000 am",30
"18/8/2021, 5:30:00.000 pm",31
"18/8/2021, 5:35:00.000 am",30
"18/8/2021, 5:35:00.000 pm",31
"18/8/2021, 5:40:00.000 am",30
"18/8/2021, 5:40:00.000 pm",31
"18/8/2021, 5:45:00.000 am",30
"18/8/2021, 5:45:00.000 pm",31
"18/8/2021, 5:50:00.000 am",30
"18/8/2021, 5:50:00.000 pm",30
"18/8/2021, 5:55:00.000 am",30
"18/8/2021, 5:55:00.000 pm",30
"18/8/2021, 6:00:00.000 am",30
"18/8/2021, 6:00:00.000 pm",35
"18/8/2021, 6:05:00.000 am",30
"18/8/2021, 6:05:00.000 pm",30
"18/8/2021, 6:10:00.000 am",31
"18/8/2021, 6:10:00.000 pm",30
"18/8/2021, 6:15:00.000 am",31
"18/8/2021, 6:15:00.000 pm",30
"18/8/2021, 6:20:00.000 am",31
"18/8/2021, 6:20:00.000 pm",31
"18/8/2021, 6:25:00.000 am",31
"18/8/2021, 6:25:00.000 pm",30
"18/8/2021, 6:30:00.000 am",31
"18/8/2021, 6:30:00.000 pm",31
"18/8/2021, 6:35:00.000 am",38
"18/8/2021, 6:35:00.000 pm",31
"18/8/2021, 6:40:00.000 am",30
"18/8/2021, 6:40:00.000 pm",30
"18/8/2021, 6:45:00.000 am",30
"18/8/2021, 6:45:00.000 pm",31
"18/8/2021, 6:50:00.000 am",31
"18/8/2021, 6:50:00.000 pm",31
"18/8/2021, 6:55:00.000 am",44
"18/8/2021, 6:55:00.000 pm",30
"18/8/2021, 7:00:00.000 am",41
"18/8/2021, 7:00:00.000 pm",31
"18/8/2021, 7:05:00.000 am",41
"18/8/2021, 7:05:00.000 pm",30
"18/8/2021, 7:10:00.000 am",41
"18/8/2021, 7:10:00.000 pm",31
"18/8/2021, 7:15:00.000 am",41
"18/8/2021, 7:15:00.000 pm",31
"18/8/2021, 7:20:00.000 am",41
"18/8/2021, 7:20:00.000 pm",31
"18/8/2021, 7:25:00.000 am",31
"18/8/2021, 7:25:00.000 pm",31
"18/8/2021, 7:30:00.000 am",31
"18/8/2021, 7:30:00.000 pm",30
"18/8/2021, 7:35:00.000 am",31
"18/8/2021, 7:35:00.000 pm",30
"18/8/2021, 7:40:00.000 am",31
"18/8/2021, 7:40:00.000 pm",31
"18/8/2021, 7:45:00.000 am",31
"18/8/2021, 7:45:00.000 pm",30
"18/8/2021, 7:50:00.000 am",31
"18/8/2021, 7:50:00.000 pm",30
"18/8/2021, 7:55:00.000 am",31
"18/8/2021, 7:55:00.000 pm",30
"18/8/2021, 8:00:00.000 am",32
"18/8/2021, 8:00:00.000 pm",31
"18/8/2021, 8:05:00.000 am",37
"18/8/2021, 8:05:00.000 pm",30
"18/8/2021, 8:10:00.000 am",31
"18/8/2021, 8:10:00.000 pm",30
"18/8/2021, 8:15:00.000 am",31
"18/8/2021, 8:15:00.000 pm",30
"18/8/2021, 8:20:00.000 am",31
"18/8/2021, 8:20:00.000 pm",30
"18/8/2021, 8:25:00.000 am",33
"18/8/2021, 8:25:00.000 pm",30
"18/8/2021, 8:30:00.000 am",31
"18/8/2021, 8:30:00.000 pm",31
"18/8/2021, 8:35:00.000 am",32
"18/8/2021, 8:35:00.000 pm",31
"18/8/2021, 8:40:00.000 am",31
"18/8/2021, 8:40:00.000 pm",39
"18/8/2021, 8:45:00.000 am",31
"18/8/2021, 8:45:00.000 pm",30
"18/8/2021, 8:50:00.000 am",31
"18/8/2021, 8:50:00.000 pm",31
"18/8/2021, 8:55:00.000 am",31
"18/8/2021, 8:55:00.000 pm",30
"18/8/2021, 9:00:00.000 am",32
"18/8/2021, 9:00:00.000 pm",30
"18/8/2021, 9:05:00.000 am",32
"18/8/2021, 9:05:00.000 pm",30
"18/8/2021, 9:10:00.000 am",31
"18/8/2021, 9:10:00.000 pm",30
"18/8/2021, 9:15:00.000 am",31
"18/8/2021, 9:15:00.000 pm",30
"18/8/2021, 9:20:00.000 am",31
"18/8/2021, 9:20:00.000 pm",30
"18/8/2021, 9:25:00.000 am",32
"18/8/2021, 9:25:00.000 pm",30
"18/8/2021, 9:30:00.000 am",31
"18/8/2021, 9:30:00.000 pm",31
"18/8/2021, 9:35:00.000 am",31
"18/8/2021, 9:35:00.000 pm",30
"18/8/2021, 9:40:00.000 am",31
"18/8/2021, 9:40:00.000 pm",31
"18/8/2021, 9:45:00.000 am",32
"18/8/2021, 9:45:00.000 pm",30
"18/8/2021, 9:50:00.000 am",31
"18/8/2021, 9:50:00.000 pm",30
"18/8/2021, 9:55:00.000 am",31
"18/8/2021, 9:55:00.000 pm",30
"19/8/2021, 1:00:00.000 am",31
"19/8/2021, 1:00:00.000 pm",32
"19/8/2021, 1:05:00.000 am",30
"19/8/2021, 1:05:00.000 pm",32
"19/8/2021, 1:10:00.000 am",30
"19/8/2021, 1:10:00.000 pm",31
"19/8/2021, 1:15:00.000 am",30
"19/8/2021, 1:15:00.000 pm",31
"19/8/2021, 1:20:00.000 am",30
"19/8/2021, 1:20:00.000 pm",32
"19/8/2021, 1:25:00.000 am",30
"19/8/2021, 1:25:00.000 pm",31
"19/8/2021, 1:30:00.000 am",30
"19/8/2021, 1:30:00.000 pm",31
"19/8/2021, 1:35:00.000 am",30
"19/8/2021, 1:35:00.000 pm",32
"19/8/2021, 1:40:00.000 am",30
"19/8/2021, 1:40:00.000 pm",32
"19/8/2021, 1:45:00.000 am",31
"19/8/2021, 1:45:00.000 pm",31
"19/8/2021, 1:50:00.000 am",30
"19/8/2021, 1:50:00.000 pm",40
"19/8/2021, 1:55:00.000 am",30
"19/8/2021, 1:55:00.000 pm",32
"19/8/2021, 10:00:00.000 am",32
"19/8/2021, 10:00:00.000 pm",40
"19/8/2021, 10:05:00.000 am",32
"19/8/2021, 10:05:00.000 pm",30
"19/8/2021, 10:10:00.000 am",31
"19/8/2021, 10:10:00.000 pm",30
"19/8/2021, 10:15:00.000 am",31
"19/8/2021, 10:15:00.000 pm",30
"19/8/2021, 10:20:00.000 am",32
"19/8/2021, 10:20:00.000 pm",30
"19/8/2021, 10:25:00.000 am",32
"19/8/2021, 10:25:00.000 pm",30
"19/8/2021, 10:30:00.000 am",32
"19/8/2021, 10:30:00.000 pm",30
"19/8/2021, 10:35:00.000 am",32
"19/8/2021, 10:35:00.000 pm",31
"19/8/2021, 10:40:00.000 am",31
"19/8/2021, 10:40:00.000 pm",30
"19/8/2021, 10:45:00.000 am",32
"19/8/2021, 10:45:00.000 pm",30
"19/8/2021, 10:50:00.000 am",32
"19/8/2021, 10:50:00.000 pm",30
"19/8/2021, 10:55:00.000 am",32
"19/8/2021, 10:55:00.000 pm",31
"19/8/2021, 11:00:00.000 am",32
"19/8/2021, 11:00:00.000 pm",31
"19/8/2021, 11:05:00.000 am",32
"19/8/2021, 11:05:00.000 pm",30
"19/8/2021, 11:10:00.000 am",32
"19/8/2021, 11:10:00.000 pm",30
"19/8/2021, 11:15:00.000 am",32
"19/8/2021, 11:15:00.000 pm",30
"19/8/2021, 11:20:00.000 am",40
"19/8/2021, 11:20:00.000 pm",31
"19/8/2021, 11:25:00.000 am",41
"19/8/2021, 11:25:00.000 pm",31
"19/8/2021, 11:30:00.000 am",33
"19/8/2021, 11:30:00.000 pm",31
"19/8/2021, 11:35:00.000 am",31
"19/8/2021, 11:35:00.000 pm",31
"19/8/2021, 11:40:00.000 am",32
"19/8/2021, 11:40:00.000 pm",30
"19/8/2021, 11:45:00.000 am",32
"19/8/2021, 11:45:00.000 pm",30
"19/8/2021, 11:50:00.000 am",32
"19/8/2021, 11:50:00.000 pm",40
"19/8/2021, 11:55:00.000 am",32
"19/8/2021, 11:55:00.000 pm",30
"19/8/2021, 12:00:00.000 am",30
"19/8/2021, 12:00:00.000 pm",33
"19/8/2021, 12:05:00.000 am",30
"19/8/2021, 12:05:00.000 pm",31
"19/8/2021, 12:10:00.000 am",30
"19/8/2021, 12:10:00.000 pm",32
"19/8/2021, 12:15:00.000 am",30
"19/8/2021, 12:15:00.000 pm",34
"19/8/2021, 12:20:00.000 am",37
"19/8/2021, 12:20:00.000 pm",31
"19/8/2021, 12:25:00.000 am",30
"19/8/2021, 12:25:00.000 pm",31
"19/8/2021, 12:30:00.000 am",30
"19/8/2021, 12:30:00.000 pm",32
"19/8/2021, 12:35:00.000 am",30
"19/8/2021, 12:35:00.000 pm",32
"19/8/2021, 12:40:00.000 am",30
"19/8/2021, 12:40:00.000 pm",32
"19/8/2021, 12:45:00.000 am",31
"19/8/2021, 12:45:00.000 pm",31
"19/8/2021, 12:50:00.000 am",30
"19/8/2021, 12:50:00.000 pm",31
"19/8/2021, 12:55:00.000 am",30
"19/8/2021, 12:55:00.000 pm",31
"19/8/2021, 2:00:00.000 am",30
"19/8/2021, 2:00:00.000 pm",32
"19/8/2021, 2:05:00.000 am",30
"19/8/2021, 2:05:00.000 pm",32
"19/8/2021, 2:10:00.000 am",31
"19/8/2021, 2:10:00.000 pm",32
"19/8/2021, 2:15:00.000 am",30
"19/8/2021, 2:15:00.000 pm",32
"19/8/2021, 2:20:00.000 am",30
"19/8/2021, 2:20:00.000 pm",32
"19/8/2021, 2:25:00.000 am",30
"19/8/2021, 2:25:00.000 pm",31
"19/8/2021, 2:30:00.000 am",31
"19/8/2021, 2:30:00.000 pm",32
"19/8/2021, 2:35:00.000 am",30
"19/8/2021, 2:35:00.000 pm",40
"19/8/2021, 2:40:00.000 am",31
"19/8/2021, 2:40:00.000 pm",33
"19/8/2021, 2:45:00.000 am",30
"19/8/2021, 2:45:00.000 pm",41
"19/8/2021, 2:50:00.000 am",31
"19/8/2021, 2:50:00.000 pm",36
"19/8/2021, 2:55:00.000 am",31
"19/8/2021, 2:55:00.000 pm",32
"19/8/2021, 3:00:00.000 am",31
"19/8/2021, 3:00:00.000 pm",31
"19/8/2021, 3:05:00.000 am",30
"19/8/2021, 3:05:00.000 pm",31
"19/8/2021, 3:10:00.000 am",33
"19/8/2021, 3:10:00.000 pm",33
"19/8/2021, 3:15:00.000 am",30
"19/8/2021, 3:15:00.000 pm",32
"19/8/2021, 3:20:00.000 am",31
"19/8/2021, 3:20:00.000 pm",32
"19/8/2021, 3:25:00.000 am",31
"19/8/2021, 3:25:00.000 pm",32
"19/8/2021, 3:30:00.000 am",31
"19/8/2021, 3:30:00.000 pm",32
"19/8/2021, 3:35:00.000 am",31
"19/8/2021, 3:35:00.000 pm",32
"19/8/2021, 3:40:00.000 am",40
"19/8/2021, 3:40:00.000 pm",32
"19/8/2021, 3:45:00.000 am",31
"19/8/2021, 3:45:00.000 pm",32
"19/8/2021, 3:50:00.000 am",32
"19/8/2021, 3:50:00.000 pm",32
"19/8/2021, 3:55:00.000 am",30
"19/8/2021, 3:55:00.000 pm",32
"19/8/2021, 4:00:00.000 am",30
"19/8/2021, 4:00:00.000 pm",32
"19/8/2021, 4:05:00.000 am",30
"19/8/2021, 4:05:00.000 pm",32
"19/8/2021, 4:10:00.000 am",30
"19/8/2021, 4:10:00.000 pm",31
"19/8/2021, 4:15:00.000 am",31
"19/8/2021, 4:15:00.000 pm",31
"19/8/2021, 4:20:00.000 am",32
"19/8/2021, 4:20:00.000 pm",31
"19/8/2021, 4:25:00.000 am",30
"19/8/2021, 4:25:00.000 pm",31
"19/8/2021, 4:30:00.000 am",31
"19/8/2021, 4:30:00.000 pm",31
"19/8/2021, 4:35:00.000 am",30
"19/8/2021, 4:35:00.000 pm",31
"19/8/2021, 4:40:00.000 am",30
"19/8/2021, 4:40:00.000 pm",31
"19/8/2021, 4:45:00.000 am",30
"19/8/2021, 4:45:00.000 pm",31
"19/8/2021, 4:50:00.000 am",30
"19/8/2021, 4:50:00.000 pm",31
"19/8/2021, 4:55:00.000 am",31
"19/8/2021, 4:55:00.000 pm",31
"19/8/2021, 5:00:00.000 am",30
"19/8/2021, 5:00:00.000 pm",31
"19/8/2021, 5:05:00.000 am",30
"19/8/2021, 5:05:00.000 pm",32
"19/8/2021, 5:10:00.000 am",30
"19/8/2021, 5:10:00.000 pm",31
"19/8/2021, 5:15:00.000 am",30
"19/8/2021, 5:15:00.000 pm",31
"19/8/2021, 5:20:00.000 am",30
"19/8/2021, 5:20:00.000 pm",31
"19/8/2021, 5:25:00.000 am",30
"19/8/2021, 5:25:00.000 pm",30
"19/8/2021, 5:30:00.000 am",31
"19/8/2021, 5:30:00.000 pm",31
"19/8/2021, 5:35:00.000 am",30
"19/8/2021, 5:35:00.000 pm",31
"19/8/2021, 5:40:00.000 am",31
"19/8/2021, 5:40:00.000 pm",31
"19/8/2021, 5:45:00.000 am",31
"19/8/2021, 5:45:00.000 pm",31
"19/8/2021, 5:50:00.000 am",31
"19/8/2021, 5:50:00.000 pm",31
"19/8/2021, 5:55:00.000 am",30
"19/8/2021, 5:55:00.000 pm",30
"19/8/2021, 6:00:00.000 am",31
"19/8/2021, 6:00:00.000 pm",30
"19/8/2021, 6:05:00.000 am",31
"19/8/2021, 6:05:00.000 pm",31
"19/8/2021, 6:10:00.000 am",30
"19/8/2021, 6:10:00.000 pm",31
"19/8/2021, 6:15:00.000 am",30
"19/8/2021, 6:15:00.000 pm",30
"19/8/2021, 6:20:00.000 am",31
"19/8/2021, 6:20:00.000 pm",41
"19/8/2021, 6:25:00.000 am",33
"19/8/2021, 6:25:00.000 pm",31
"19/8/2021, 6:30:00.000 am",31
"19/8/2021, 6:30:00.000 pm",31
"19/8/2021, 6:35:00.000 am",30
"19/8/2021, 6:35:00.000 pm",30
"19/8/2021, 6:40:00.000 am",31
"19/8/2021, 6:40:00.000 pm",30
"19/8/2021, 6:45:00.000 am",38
"19/8/2021, 6:45:00.000 pm",31
"19/8/2021, 6:50:00.000 am",31
"19/8/2021, 6:50:00.000 pm",30
"19/8/2021, 6:55:00.000 am",32
"19/8/2021, 6:55:00.000 pm",30
"19/8/2021, 7:00:00.000 am",32
"19/8/2021, 7:00:00.000 pm",30
"19/8/2021, 7:05:00.000 am",32
"19/8/2021, 7:05:00.000 pm",30
"19/8/2021, 7:10:00.000 am",32
"19/8/2021, 7:10:00.000 pm",40
"19/8/2021, 7:15:00.000 am",31
"19/8/2021, 7:15:00.000 pm",30
"19/8/2021, 7:20:00.000 am",32
"19/8/2021, 7:20:00.000 pm",31
"19/8/2021, 7:25:00.000 am",31
"19/8/2021, 7:25:00.000 pm",30
"19/8/2021, 7:30:00.000 am",31
"19/8/2021, 7:30:00.000 pm",30
"19/8/2021, 7:35:00.000 am",31
"19/8/2021, 7:35:00.000 pm",30
"19/8/2021, 7:40:00.000 am",31
"19/8/2021, 7:40:00.000 pm",30
"19/8/2021, 7:45:00.000 am",32
"19/8/2021, 7:45:00.000 pm",30
"19/8/2021, 7:50:00.000 am",31
"19/8/2021, 7:50:00.000 pm",30
"19/8/2021, 7:55:00.000 am",31
"19/8/2021, 7:55:00.000 pm",30
"19/8/2021, 8:00:00.000 am",32
"19/8/2021, 8:00:00.000 pm",30
"19/8/2021, 8:05:00.000 am",31
"19/8/2021, 8:05:00.000 pm",30
"19/8/2021, 8:10:00.000 am",31
"19/8/2021, 8:10:00.000 pm",30
"19/8/2021, 8:15:00.000 am",32
"19/8/2021, 8:15:00.000 pm",30
"19/8/2021, 8:20:00.000 am",31
"19/8/2021, 8:20:00.000 pm",30
"19/8/2021, 8:25:00.000 am",31
"19/8/2021, 8:25:00.000 pm",31
"19/8/2021, 8:30:00.000 am",33
"19/8/2021, 8:30:00.000 pm",30
"19/8/2021, 8:35:00.000 am",31
"19/8/2021, 8:35:00.000 pm",30
"19/8/2021, 8:40:00.000 am",32
"19/8/2021, 8:40:00.000 pm",30
"19/8/2021, 8:45:00.000 am",31
"19/8/2021, 8:45:00.000 pm",30
"19/8/2021, 8:50:00.000 am",32
"19/8/2021, 8:50:00.000 pm",30
"19/8/2021, 8:55:00.000 am",33
"19/8/2021, 8:55:00.000 pm",30
"19/8/2021, 9:00:00.000 am",31
"19/8/2021, 9:00:00.000 pm",30
"19/8/2021, 9:05:00.000 am",31
"19/8/2021, 9:05:00.000 pm",30
"19/8/2021, 9:10:00.000 am",31
"19/8/2021, 9:10:00.000 pm",30
"19/8/2021, 9:15:00.000 am",31
"19/8/2021, 9:15:00.000 pm",30
"19/8/2021, 9:20:00.000 am",31
"19/8/2021, 9:20:00.000 pm",30
"19/8/2021, 9:25:00.000 am",31
"19/8/2021, 9:25:00.000 pm",30
"19/8/2021, 9:30:00.000 am",32
"19/8/2021, 9:30:00.000 pm",30
"19/8/2021, 9:35:00.000 am",32
"19/8/2021, 9:35:00.000 pm",30
"19/8/2021, 9:40:00.000 am",31
"19/8/2021, 9:40:00.000 pm",30
"19/8/2021, 9:45:00.000 am",31
"19/8/2021, 9:45:00.000 pm",29
"19/8/2021, 9:50:00.000 am",32
"19/8/2021, 9:50:00.000 pm",30
"19/8/2021, 9:55:00.000 am",32
"19/8/2021, 9:55:00.000 pm",30
"2/8/2021, 1:00:00.000 am",20
"2/8/2021, 1:00:00.000 pm",20
"2/8/2021, 1:05:00.000 am",19
"2/8/2021, 1:05:00.000 pm",20
"2/8/2021, 1:10:00.000 am",19
"2/8/2021, 1:10:00.000 pm",20
"2/8/2021, 1:15:00.000 am",19
"2/8/2021, 1:15:00.000 pm",20
"2/8/2021, 1:20:00.000 am",19
"2/8/2021, 1:20:00.000 pm",20
"2/8/2021, 1:25:00.000 am",19
"2/8/2021, 1:25:00.000 pm",20
"2/8/2021, 1:30:00.000 am",19
"2/8/2021, 1:30:00.000 pm",20
"2/8/2021, 1:35:00.000 am",19
"2/8/2021, 1:35:00.000 pm",20
"2/8/2021, 1:40:00.000 am",19
"2/8/2021, 1:40:00.000 pm",20
"2/8/2021, 1:45:00.000 am",19
"2/8/2021, 1:45:00.000 pm",20
"2/8/2021, 1:50:00.000 am",19
"2/8/2021, 1:50:00.000 pm",20
"2/8/2021, 1:55:00.000 am",19
"2/8/2021, 1:55:00.000 pm",20
"2/8/2021, 10:00:00.000 am",20
"2/8/2021, 10:00:00.000 pm",19
"2/8/2021, 10:05:00.000 am",20
"2/8/2021, 10:05:00.000 pm",19
"2/8/2021, 10:10:00.000 am",20
"2/8/2021, 10:10:00.000 pm",19
"2/8/2021, 10:15:00.000 am",20
"2/8/2021, 10:15:00.000 pm",19
"2/8/2021, 10:20:00.000 am",20
"2/8/2021, 10:20:00.000 pm",19
"2/8/2021, 10:25:00.000 am",20
"2/8/2021, 10:25:00.000 pm",19
"2/8/2021, 10:30:00.000 am",20
"2/8/2021, 10:30:00.000 pm",19
"2/8/2021, 10:35:00.000 am",21
"2/8/2021, 10:35:00.000 pm",19
"2/8/2021, 10:40:00.000 am",20
"2/8/2021, 10:40:00.000 pm",19
"2/8/2021, 10:45:00.000 am",20
"2/8/2021, 10:45:00.000 pm",19
"2/8/2021, 10:50:00.000 am",20
"2/8/2021, 10:50:00.000 pm",19
"2/8/2021, 10:55:00.000 am",19
"2/8/2021, 10:55:00.000 pm",19
"2/8/2021, 11:00:00.000 am",20
"2/8/2021, 11:00:00.000 pm",19
"2/8/2021, 11:05:00.000 am",19
"2/8/2021, 11:05:00.000 pm",19
"2/8/2021, 11:10:00.000 am",19
"2/8/2021, 11:10:00.000 pm",19
"2/8/2021, 11:15:00.000 am",20
"2/8/2021, 11:15:00.000 pm",19
"2/8/2021, 11:20:00.000 am",20
"2/8/2021, 11:20:00.000 pm",19
"2/8/2021, 11:25:00.000 am",20
"2/8/2021, 11:25:00.000 pm",19
"2/8/2021, 11:30:00.000 am",20
"2/8/2021, 11:30:00.000 pm",19
"2/8/2021, 11:35:00.000 am",21
"2/8/2021, 11:35:00.000 pm",19
"2/8/2021, 11:40:00.000 am",20
"2/8/2021, 11:40:00.000 pm",19
"2/8/2021, 11:45:00.000 am",20
"2/8/2021, 11:45:00.000 pm",19
"2/8/2021, 11:50:00.000 am",20
"2/8/2021, 11:50:00.000 pm",19
"2/8/2021, 11:55:00.000 am",20
"2/8/2021, 11:55:00.000 pm",19
"2/8/2021, 12:00:00.000 am",19
"2/8/2021, 12:00:00.000 pm",20
"2/8/2021, 12:05:00.000 am",19
"2/8/2021, 12:05:00.000 pm",20
"2/8/2021, 12:10:00.000 am",19
"2/8/2021, 12:10:00.000 pm",20
"2/8/2021, 12:15:00.000 am",19
"2/8/2021, 12:15:00.000 pm",20
"2/8/2021, 12:20:00.000 am",19
"2/8/2021, 12:20:00.000 pm",20
"2/8/2021, 12:25:00.000 am",19
"2/8/2021, 12:25:00.000 pm",21
"2/8/2021, 12:30:00.000 am",19
"2/8/2021, 12:30:00.000 pm",20
"2/8/2021, 12:35:00.000 am",19
"2/8/2021, 12:35:00.000 pm",20
"2/8/2021, 12:40:00.000 am",19
"2/8/2021, 12:40:00.000 pm",19
"2/8/2021, 12:45:00.000 am",19
"2/8/2021, 12:45:00.000 pm",20
"2/8/2021, 12:50:00.000 am",19
"2/8/2021, 12:50:00.000 pm",20
"2/8/2021, 12:55:00.000 am",19
"2/8/2021, 12:55:00.000 pm",20
"2/8/2021, 2:00:00.000 am",19
"2/8/2021, 2:00:00.000 pm",20
"2/8/2021, 2:05:00.000 am",19
"2/8/2021, 2:05:00.000 pm",20
"2/8/2021, 2:10:00.000 am",19
"2/8/2021, 2:10:00.000 pm",19
"2/8/2021, 2:15:00.000 am",19
"2/8/2021, 2:15:00.000 pm",20
"2/8/2021, 2:20:00.000 am",19
"2/8/2021, 2:20:00.000 pm",20
"2/8/2021, 2:25:00.000 am",19
"2/8/2021, 2:25:00.000 pm",20
"2/8/2021, 2:30:00.000 am",19
"2/8/2021, 2:30:00.000 pm",20
"2/8/2021, 2:35:00.000 am",19
"2/8/2021, 2:35:00.000 pm",20
"2/8/2021, 2:40:00.000 am",19
"2/8/2021, 2:40:00.000 pm",20
"2/8/2021, 2:45:00.000 am",19
"2/8/2021, 2:45:00.000 pm",20
"2/8/2021, 2:50:00.000 am",19
"2/8/2021, 2:50:00.000 pm",21
"2/8/2021, 2:55:00.000 am",19
"2/8/2021, 2:55:00.000 pm",21
"2/8/2021, 3:00:00.000 am",19
"2/8/2021, 3:00:00.000 pm",21
"2/8/2021, 3:05:00.000 am",19
"2/8/2021, 3:05:00.000 pm",21
"2/8/2021, 3:10:00.000 am",19
"2/8/2021, 3:10:00.000 pm",21
"2/8/2021, 3:15:00.000 am",19
"2/8/2021, 3:15:00.000 pm",20
"2/8/2021, 3:20:00.000 am",19
"2/8/2021, 3:20:00.000 pm",20
"2/8/2021, 3:25:00.000 am",19
"2/8/2021, 3:25:00.000 pm",20
"2/8/2021, 3:30:00.000 am",19
"2/8/2021, 3:30:00.000 pm",20
"2/8/2021, 3:35:00.000 am",19
"2/8/2021, 3:35:00.000 pm",20
"2/8/2021, 3:40:00.000 am",19
"2/8/2021, 3:40:00.000 pm",20
"2/8/2021, 3:45:00.000 am",19
"2/8/2021, 3:45:00.000 pm",20
"2/8/2021, 3:50:00.000 am",19
"2/8/2021, 3:50:00.000 pm",20
"2/8/2021, 3:55:00.000 am",18
"2/8/2021, 3:55:00.000 pm",20
"2/8/2021, 4:00:00.000 am",18
"2/8/2021, 4:00:00.000 pm",21
"2/8/2021, 4:05:00.000 am",19
"2/8/2021, 4:05:00.000 pm",20
"2/8/2021, 4:10:00.000 am",19
"2/8/2021, 4:10:00.000 pm",20
"2/8/2021, 4:15:00.000 am",19
"2/8/2021, 4:15:00.000 pm",19
"2/8/2021, 4:20:00.000 am",19
"2/8/2021, 4:20:00.000 pm",19
"2/8/2021, 4:25:00.000 am",19
"2/8/2021, 4:25:00.000 pm",19
"2/8/2021, 4:30:00.000 am",19
"2/8/2021, 4:30:00.000 pm",19
"2/8/2021, 4:35:00.000 am",19
"2/8/2021, 4:35:00.000 pm",19
"2/8/2021, 4:40:00.000 am",19
"2/8/2021, 4:40:00.000 pm",19
"2/8/2021, 4:45:00.000 am",19
"2/8/2021, 4:45:00.000 pm",20
"2/8/2021, 4:50:00.000 am",19
"2/8/2021, 4:50:00.000 pm",19
"2/8/2021, 4:55:00.000 am",19
"2/8/2021, 4:55:00.000 pm",19
"2/8/2021, 5:00:00.000 am",19
"2/8/2021, 5:00:00.000 pm",19
"2/8/2021, 5:05:00.000 am",19
"2/8/2021, 5:05:00.000 pm",20
"2/8/2021, 5:10:00.000 am",19
"2/8/2021, 5:10:00.000 pm",19
"2/8/2021, 5:15:00.000 am",19
"2/8/2021, 5:15:00.000 pm",19
"2/8/2021, 5:20:00.000 am",19
"2/8/2021, 5:20:00.000 pm",20
"2/8/2021, 5:25:00.000 am",20
"2/8/2021, 5:25:00.000 pm",19
"2/8/2021, 5:30:00.000 am",20
"2/8/2021, 5:30:00.000 pm",19
"2/8/2021, 5:35:00.000 am",19
"2/8/2021, 5:35:00.000 pm",20
"2/8/2021, 5:40:00.000 am",19
"2/8/2021, 5:40:00.000 pm",20
"2/8/2021, 5:45:00.000 am",19
"2/8/2021, 5:45:00.000 pm",20
"2/8/2021, 5:50:00.000 am",20
"2/8/2021, 5:50:00.000 pm",19
"2/8/2021, 5:55:00.000 am",19
"2/8/2021, 5:55:00.000 pm",19
"2/8/2021, 6:00:00.000 am",19
"2/8/2021, 6:00:00.000 pm",19
"2/8/2021, 6:05:00.000 am",19
"2/8/2021, 6:05:00.000 pm",19
"2/8/2021, 6:10:00.000 am",19
"2/8/2021, 6:10:00.000 pm",19
"2/8/2021, 6:15:00.000 am",19
"2/8/2021, 6:15:00.000 pm",19
"2/8/2021, 6:20:00.000 am",19
"2/8/2021, 6:20:00.000 pm",19
"2/8/2021, 6:25:00.000 am",19
"2/8/2021, 6:25:00.000 pm",19
"2/8/2021, 6:30:00.000 am",19
"2/8/2021, 6:30:00.000 pm",19
"2/8/2021, 6:35:00.000 am",19
"2/8/2021, 6:35:00.000 pm",19
"2/8/2021, 6:40:00.000 am",19
"2/8/2021, 6:40:00.000 pm",19
"2/8/2021, 6:45:00.000 am",19
"2/8/2021, 6:45:00.000 pm",19
